Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF/10V","10uF_10V_0603",156.905000,-101.865000,270.000000,top
"C3","1uF_0603","1uF_0603",155.835000,-110.390000,90.000000,top
"D1","BAS386","BAS386_MICROMELF",162.050000,-105.460000,270.000000,top
"D2","MBR0520L","MBR0520L_SOD123",153.755000,-109.355000,270.000000,top
"L1","22uH","22uH_2520",153.775000,-104.325000,270.000000,top
"P2","LicheePi_Con","40pin_fpc_top_0_5mm",134.980000,-69.260000,0.000000,top
"R4","10R","10R_0603",160.020000,-106.580000,270.000000,top
"R5","0R_NA","0R_0603",170.370000,-101.600000,90.000000,top
"R6","0R_NA","0R_0603",171.755000,-101.600000,90.000000,top
"R7","0R","0R_0603",173.140000,-101.600000,90.000000,top
"R8","0R_NA","0R_0603",173.140000,-104.080000,90.000000,top
"R9","0R","0R_0603",171.755000,-104.075000,90.000000,top
"R10","0R","0R_0603",170.375000,-104.080000,90.000000,top
"U2","DIO5661ST6","DIO5661ST6",157.575000,-105.315000,0.000000,top
